,trueAlpha,trueTau,recovAlpha,recoveTau,cost,r
0,0.6751115733938364,0.7126917108992887,0.4208025065437015,0.01438607292552426,1166.0,"(0.40336976619365655, 0.0018629402910896856)"
0,0.8927792218746243,0.44629058007415956,0.44504627907433436,0.19127891568922825,1220.0,"(0.7010281663841204, 1.261482774967998e-09)"
0,0.37404006669087986,0.34328469656572286,0.5675012506029559,0.27013200604235366,1038.0,"(0.63642539585067, 1.0326065811317018e-07)"
0,0.9430482806526973,0.2552913336050375,0.6498027035092103,0.05659477054461941,1299.0,"(0.5051203466771037, 6.142399801828956e-05)"
0,0.4617894306032788,0.6995152595878692,0.0662584280127042,0.3412331228363955,1105.0,"(0.4089288618098697, 0.0015870387068966031)"
0,0.23162377401738377,0.5085618334212294,0.8680495733071865,0.25329527739241525,1174.0,"(0.562928965707729, 5.160560266845609e-06)"
0,0.2657271965341743,0.16838009011941668,0.18000595763966354,0.21701438769683828,1134.0,"(0.6890858578840556, 3.1008547144948393e-09)"
0,0.2928293029345087,0.23752763091091994,0.047266822150262656,0.04527020496759784,1194.0,"(0.4537110532338537, 0.0003931829299946913)"
0,0.6562384350673882,0.2630306360833289,0.37287048028451875,0.4814151176702681,913.0,"(0.5041913921694151, 6.369011103952249e-05)"
0,0.4357052465810425,0.04842610063700213,0.009569610912152669,0.7774269173222911,1436.0,"(0.471503698687313, 0.0002137251723311798)"
0,0.7081392776816,0.27629190778149487,0.5629444657988014,0.7842484759117463,1054.0,"(0.7581510186415137, 8.532387313412782e-12)"
0,0.36977630835468966,0.8059499677236758,0.5493786488946525,0.634967062396056,1461.0,"(0.38839596095493145, 0.0028308747041822795)"
0,0.8928859612065155,0.5816965544073606,0.29633099894100534,0.2634634381595536,1368.0,"(0.43330472471985865, 0.0007603547627253801)"
0,0.720229444572254,0.710606941422574,0.6665279592321252,0.3820590289225639,1135.0,"(0.4112086871233179, 0.0014848955400999088)"
0,0.18139508550030325,0.24556526764651931,0.7932446911551363,0.3754198369157162,1080.0,"(0.6719974127466563, 1.0452017522334722e-08)"
0,0.9243502375915373,0.41988483195135656,0.8030973984800394,0.5945623441505694,1030.0,"(0.37596895137440745, 0.003949361162160522)"
0,0.5769121295430218,0.11285444813287553,0.6681447763096152,0.09966232908310356,1482.0,"(0.2516809421789286, 0.058948514822322565)"
0,0.8778441914218904,0.031324710016434346,0.9259793802656736,0.35353492010122917,1336.0,"(0.514868171001111, 4.173093752234043e-05)"
0,0.8690707025793002,0.36364795000649497,0.07244282155416076,0.3713790746033933,903.0,"(0.5820140582647585, 2.0477250093560193e-06)"
0,0.15400549273881703,0.6067307150449428,0.34231901170870405,0.4924065096448092,1240.0,"(0.42088726583434666, 0.0011137276188886217)"
0,0.46156235367783904,0.4010861498148907,0.930289312220547,0.2519955631922672,1449.0,"(0.6088765215749197, 5.025123357767302e-07)"
0,0.4524562423243279,0.6199703162922209,0.686746233805505,0.9972020613989486,800.0,"(0.6218194976063124, 2.435279869751364e-07)"
0,0.11357724912817624,0.3198519377683197,0.9581760389771512,0.9245339004008905,1125.0,"(0.49288802102964735, 9.815805598947234e-05)"
0,0.8760892627817732,0.6655011895690147,0.5750882003334843,0.49002150131811145,1089.0,"(0.5716404037721832, 3.408689371892688e-06)"
0,0.9493139626576995,0.49290532687333993,0.4329694224327354,0.19349458430002317,1517.0,"(0.5587280640018059, 6.2768064471473846e-06)"
0,0.18345930232432994,0.4739090166842325,0.13141302738411678,0.5936229084938839,1290.0,"(0.5397689104028228, 1.4706649277988549e-05)"
0,0.62928186174306,0.5281066053650338,0.31317899256713067,0.9148764062369509,1361.0,"(0.5739739266226895, 3.044119799641436e-06)"
0,0.6730773331575423,0.07252385187309725,0.9558042419173581,0.022726187106561616,1178.0,"(0.39373024337799906, 0.0024442010930709693)"
0,0.7430826064420143,0.15592532358711214,0.2799511025172949,0.38822445591374194,1820.0,"(0.3710173176898408, 0.004493902935369343)"
0,0.16968370192365245,0.7397683319176452,0.3743636243673581,0.44476252071742944,1047.0,"(0.5895108169197012, 1.4012624260474441e-06)"
0,0.947949909925634,0.7599479765715381,0.3009135908748953,0.502447313644621,1366.0,"(0.5442477185723353, 1.2083128113848873e-05)"
0,0.645525061703643,0.712112154484304,0.720601419516327,0.2920842671396447,1065.0,"(0.5464330484154953, 1.0967221578963526e-05)"
0,0.07645432200391589,0.6263248512994883,0.17039367314477177,0.265356630862416,1042.0,"(0.6880034040382604, 3.3571405685675284e-09)"
0,0.5236591363205585,0.3650347200188923,0.5286740495310207,0.04222204087691973,996.0,"(0.4582083696738298, 0.0003380913450020663)"
0,0.29618012417904804,0.8447923791456893,0.005386705206193748,0.9585007693272098,1048.0,"(0.635259362530949, 1.1076391340384149e-07)"
0,0.1397092805876523,0.30219995968551644,0.19314380928338956,0.2015215513609357,1219.0,"(0.21315718694595492, 0.11138372118656524)"
0,0.6948503625580519,0.8948872122217231,0.6493097206415422,0.8207229402329496,1287.0,"(0.46571952340789097, 0.00026152117526882226)"
0,0.2732391315684082,0.757496874045725,0.4263620613798631,0.3139361927316922,1571.0,"(0.2287544611543822, 0.08697547936755405)"
0,0.10850527088087769,0.30318424971284375,0.42480889202236527,0.22304830575309462,1399.0,"(0.4971209046318925, 8.362745948341023e-05)"
0,0.4699796913171955,0.7004162078619521,0.6433225246306664,0.623004033295631,1062.0,"(0.3810529914124918, 0.0034517019127348367)"
0,0.9890024254761176,0.7891397703609644,0.8297959282512803,0.9366249257151337,1269.0,"(0.5913757157533981, 1.2731792594433004e-06)"
0,0.5139645150393074,0.3215102869264319,0.30310546920356696,0.47835228414074016,1217.0,"(0.5521837705465519, 8.470994089302002e-06)"
0,0.9180011418921393,0.769141232369782,0.2950015180437678,0.42059500494595625,1439.0,"(0.3951463915882709, 0.0023497832221828765)"
0,0.493248007156734,0.37424249005861515,0.6534884958865024,0.8804774972985626,1335.0,"(0.23827990550034392, 0.07427344098640991)"
0,0.9758868647327831,0.16485895454714677,0.4882481573272701,0.197256897850492,1339.0,"(0.5583789970122055, 6.379007159452634e-06)"
0,0.33439022014032027,0.17882146560950396,0.2082507629024813,0.22349401912216316,1252.0,"(0.5064170954497735, 5.8384622651608227e-05)"
0,0.5354167264209696,0.6375822532541382,0.015938697004228914,0.7197419144283179,1288.0,"(0.6755843259282697, 8.153053672974457e-09)"
0,0.7845578975101015,0.9728845378284078,0.04233458141752565,0.18474478108038817,1404.0,"(0.5425788948250739, 1.30052336442178e-05)"
0,0.08420642229866815,0.9853973517629561,0.15911210691154465,0.8697841902751464,1513.0,"(0.5462224971021142, 1.1070418330010034e-05)"
0,0.528259245860247,0.39713442707791524,0.21356615870710466,0.22980927064736217,1137.0,"(0.6813875917690493, 5.414774371649328e-09)"
0,0.057738084962558944,0.5831558680960743,0.10989645431735398,0.15909394359940512,1240.0,"(0.5865125727743548, 1.6326973308406172e-06)"
0,0.25070118394269814,0.9977287782681834,0.1854099764280731,0.9772827110408413,1048.0,"(0.5926473231566691, 1.192212334527531e-06)"
0,0.7817933061840083,0.2655773264652023,0.5033360773484606,0.7505388873778951,1101.0,"(0.8041637533466581, 4.9547015714100124e-14)"
0,0.34978094430741036,0.6451690616588411,0.24880121848135775,0.6370201795646565,768.0,"(0.522878136013345, 3.010378285300694e-05)"
0,0.49573927438909104,0.037078299156536924,0.5999060337040328,0.3024312922687195,1114.0,"(0.7026202580338017, 1.1152296024061337e-09)"
0,0.23679161606949017,0.2195174420622384,0.6667808751862548,0.6682542982024825,1109.0,"(0.6520386700669786, 3.921010198499746e-08)"
0,0.48802583824017975,0.7836357808496429,0.35874692778411066,0.8574273689823245,1047.0,"(0.6078653978044269, 5.310498612541425e-07)"
0,0.0105337427934874,0.121507839824402,0.6675738892610412,0.978544517252084,1056.0,"(0.599324012144767, 8.40420668281337e-07)"
0,0.6123898814567992,0.8794816208550428,0.5169509447167326,0.10583614690322321,1227.0,"(0.44459671658135996, 0.0005305539350885019)"
0,0.11583067106376632,0.7237708118230195,0.13787614264508577,0.5430534252358021,1430.0,"(0.487546223246087, 0.00011979529528347778)"
0,0.8407706394140612,0.97666871581256,0.809519766223317,0.8005335035654931,1357.0,"(0.578727371120594, 2.4110965989926233e-06)"
