,turker,additionalThoughts,considr_othrExp,disappoint_othr,fairness,be_friend,generalExpermnt,generalStrategy,generalWilson,greedy,inv10x2exp,inv10x2ret,inv10x4exp,inv10x4ret,inv10x6exp,inv10x6ret,inv1x2exp,inv1x2ret,inv1x4exp,inv1x4ret,inv1x6exp,inv1x6ret,inv5x2exp,inv5x2ret,inv5x4exp,inv5x4ret,inv5x6exp,inv5x6ret,know_p2,liking,like_mostOthrs,self_dependable,self_disappoint_othr,self_fairness,self_greedy,self_trustwrthy,similarity,trust,turk_gender,turk_race,turker_age,wouldInvestInputId,p2,p3,p2_strat,mean_error
0,A100Y89FZO4J0B:3F6KKYWMNCVTXS5S5USV9ZYEUHLDNK,,55.0,66.0,42.0,27.0,completely engaged. It was difficult to predict but I tried my best. nothing odd,how much on average he would return,"sometimes fair, sometimes greedy",66.0,10.0,10.0,10.0,20.0,10.0,30,2.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,10.0,15,12.0,38.0,60.0,80.0,,77.0,,81.0,13.0,40.0,female,White,29.0,3.0,93.0,1.0,GA,15.734010953309202
1,A11BSFO4LMHPXQ:36TFCYNS454FL2OYTWYUYM4APRCHXE,no,60.0,69.0,56.0,55.0,I was very engaged.  It was hard to predict.  I felt lost at first.,I tried to look for patterns.  ,I thought he wanted to give more to those who got less.,55.0,10.0,10.0,20.0,20.0,20.0,30,2.0,1.0,2.0,2.0,2.0,3.0,10.0,5,10.0,10.0,10.0,15,29.0,61.0,76.0,84.0,,61.0,,66.0,30.0,53.0,female,White,40.0,4.0,81.0,3.0,GA,16.21449456975773
2,A11UBOE8N877JJ:3D3VGR7TA19GUYVN5C305AHC4HXR3W,Thank you for the opportunity to participate in this study!,33.0,69.0,1.0,29.0,"I was very engaged, it was difficult to predict Wilson's behavior as it was different from my own. This task overall was enjoyable.",I guessed the average amount he paid which was less than double.,He is unfair.,100.0,20.0,20.0,20.0,20.0,30.0,30,2.0,2.0,4.0,4.0,3.0,3.0,10.0,10,10.0,10.0,15.0,15,65.0,18.0,55.0,100.0,,100.0,,100.0,1.0,13.0,female,White,23.0,10.0,54.0,4.0,MO,19.936067019400355
3,A126IMAJ4EEE7:3LRLIPTPER3URFHDO79DR694FXYKAR,,30.0,83.0,6.0,33.0,the task was easy and fun. ,seeing how much he would gain vs the other,Wilson kept most of the money to himself,100.0,20.0,10.0,40.0,20.0,60.0,35,2.0,0.0,4.0,1.0,6.0,1.0,10.0,4,20.0,12.0,30.0,15,62.0,41.0,68.0,94.0,,81.0,,97.0,60.0,4.0,female,Black,29.0,1.0,92.0,5.0,MO,11.724682075559265
4,A12IHTKQFQIPD1:3A1COHJ8NKPP61NQLOM2INNHXSUH8G,no,19.0,100.0,1.0,1.0,"Was fully engaged during the task. I did find it a bit random trying to predict his amount to return, but was usually within a dollar or two of the amount. The task was fun, I like that it was animated. Did not find anything odd.","When I found out he wasn't giving a fair return when the numbers were below or under the average multiplier, I attempted to predict is greediness. ",Very greedy person and untrustworthy.,100.0,10.0,5.0,15.0,12.0,25.0,18,1.0,0.0,2.0,0.0,2.0,0.0,5.0,3,10.0,5.0,10.0,8,69.0,1.0,51.0,100.0,,93.0,,88.0,1.0,1.0,male,White,34.0,0.0,92.0,7.0,MO,7.909240694328414
5,A142YO5V1GQH4W:3DHE4R9OCX50KQQQL1VJNWYDTWE2GT,good,69.0,73.0,78.0,67.0,like ,intelligenct,good thinking,70.0,10.0,10.0,20.0,20.0,30.0,30,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,15.0,15,67.0,65.0,66.0,56.0,57.0,59.0,64.0,68.0,59.0,69.0,,,,8.0,41.0,9.0,MO,15.114000278473965
6,A14HW8I4RYHNC4:38SKSKU7R2RKH3ITLVDRN4A2HN5LIW,I have nothing to add.,58.0,31.0,42.0,68.0,"It was hard, just when I thought I figured him out, he would do it differently.",The mood of the other person,He is okay.,57.0,20.0,10.0,40.0,20.0,60.0,10,2.0,1.0,4.0,2.0,6.0,2.0,10.0,5,20.0,10.0,30.0,15,55.0,68.0,37.0,76.0,,63.0,,62.0,63.0,62.0,male,White,55.0,5.0,4.0,10.0,IA,14.65434419381788
7,A14OPFM8OFA4WF:34PGFRQONP5WN8EY7R5T8G6IS2WJWJ,None,72.0,98.0,7.0,31.0,"Very engaged, and I thought that he should h ave returned some of the money. I thought it was odd that he never returned any of it.","After the first several times, I saw he was greedy.",I didnt like him,92.0,20.0,5.0,40.0,20.0,60.0,20,2.0,0.0,4.0,0.0,6.0,2.0,10.0,5,20.0,0.0,30.0,5,8.0,10.0,2.0,84.0,,82.0,,92.0,9.0,3.0,other,White,43.0,7.0,83.0,11.0,GR,1.4035087719298245
8,A15FXHC1CVNW31:39N5ACM9HFHHXN4O9T0LRSKJ4D8P9H,"Game glitched out on a few trials, did not show me the money provided",57.0,30.0,63.0,58.0,Very engaged and slightly confused ,Mutliplier,Relatively fair,52.0,10.0,10.0,10.0,20.0,10.0,30,2.0,2.0,1.0,2.0,1.0,3.0,5.0,5,5.0,10.0,5.0,15,68.0,55.0,51.0,96.0,,86.0,,50.0,60.0,50.0,male,White,30.0,5.0,100.0,13.0,GA,16.62234289427272
9,A15RSC70TW7ZKW:3UXUOQ9OKFR6W0AT5DK4N14I6I97AQ,None.,24.0,97.0,1.0,29.0,"It was not too hard to predict what wilson would do in general, but hard to predict precisely.","After the first few I just found that Wilson seemed very greedy, and decided he wouldn't ever really give much back.",He's greedy.,100.0,10.0,10.0,20.0,20.0,30.0,30,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,15.0,15,73.0,13.0,17.0,82.0,21.0,94.0,9.0,89.0,1.0,10.0,,,,0.0,62.0,14.0,GR,5.276849531235496
