,p2,p3,p2_strat,model,param1,param2,sse,aic,bic,fit_method
0,93,1,GA,rescorla-wagner,0.48441910882722494,,3010.301965183031,228.10443111551805,230.1474823833526,least_squares_100iters
0,93,1,GA,inverse motive,0.2262632961107224,0.3678832542886046,752.0,151.0420481985715,155.12815073424062,least_squares_100iters
0,93,1,GA,greed,,,8362.0,284.33889371267173,284.33889371267173,least_squares_100iters
0,93,1,GA,guilt-aversion,383.512267414422,,1115.0,171.49282971540114,173.5358809832357,least_squares_100iters
0,93,1,GA,inequity-aversion,1092.8715560414537,,462.0,121.27327652508976,123.31632779292431,least_squares_100iters
0,93,1,GA,moral phenotype,0.017767352595795205,0.024448905699363838,512.0,129.13058136068258,133.21668389635167,least_squares_100iters
0,81,3,GA,rescorla-wagner,0.397536143169105,,3020.560709303955,228.29834996608818,230.34140123392274,least_squares_100iters
0,81,3,GA,inverse motive,0.9281984569376912,0.07413054394512326,923.0,162.72094410009322,166.80704663576233,least_squares_100iters
0,81,3,GA,greed,,,6964.0,273.9111078840512,273.9111078840512,least_squares_100iters
0,81,3,GA,guilt-aversion,225.38277992874444,,1057.0,168.44790692803417,170.49095819586873,least_squares_100iters
0,81,3,GA,inequity-aversion,443.99674456218173,,1078.0,169.56925456716036,171.6123058349949,least_squares_100iters
0,81,3,GA,moral phenotype,0.1380343842262688,-0.07184412341079172,840.0,157.34998556816012,161.43608810382923,least_squares_100iters
0,54,4,MO,rescorla-wagner,0.22342812095239897,,1844.8739573887508,200.19555332009563,202.23860458793018,least_squares_100iters
0,54,4,MO,inverse motive,0.07228823001496332,0.0160202866614698,1057.0,170.44790692803417,174.53400946370328,least_squares_100iters
0,54,4,MO,greed,,,4071.0,243.3097827981004,243.3097827981004,least_squares_100iters
0,54,4,MO,guilt-aversion,100.20452695410742,,1210.0,176.1534891331055,178.19654040094005,least_squares_100iters
0,54,4,MO,inequity-aversion,177.39946278824914,,1005.0,165.57241850154168,167.61546976937623,least_squares_100iters
0,54,4,MO,moral phenotype,0.251689047359444,-0.08326330791281303,884.0,160.26013030377632,164.34623283944543,least_squares_100iters
0,92,5,MO,rescorla-wagner,0.32592151853440093,,2113.2863300161216,207.9380502137467,209.98110148158125,least_squares_100iters
0,92,5,MO,inverse motive,0.41823648631418925,0.04442114472472112,715.0,148.16618266698907,152.2522852026582,least_squares_100iters
0,92,5,MO,greed,,,3456.0,233.97450413909556,233.97450413909556,least_squares_100iters
0,92,5,MO,guilt-aversion,76.8602139221386,,1254.0,178.189419841424,180.23247110925857,least_squares_100iters
